Grade,Applicable Standards,Carbon % ,Silicon %,Manganese %,Sulphur %,Phosphorous %,Chromium %,Molybdenum %,Copper %,Nickel %,Nitrogen %,Tungsten %,Cobalt %,Aluminium %,Titanium %,Niobium %,Iron %,Hardness (BHN),Density,U.T.S. (N/MM2),Yeild Strength  (Mpa),Elongation,Reduction Area
Alloy A286,"1.4980, ASTM A 638, ASME SA 638",0.08 Max,1.00 Max,2.00 Max,0.030 Max,,13.50 - 16.00,1.00 - 1.75,-,25.5,,-,,,,,,180 BHN,7.94,620 Mpa,275 Mpa,40%,
Alloy 800,"1.4876, ASTM B408, ASTM B564",0.1 Max,1.00 Max,1.50 Max,0.015 Max,,19.0-23.0,-,0.75 Max,30.0-35.0,,-,,0.15-0.60,0.15-0.60,,39.5 min,180 BHN,7.94,517 Mpa,207 Mpa,30%,
Alloy 36,"1.3912, ASTM B 388 & B 753, DIN 1715 , SEW 385",0.1,0.35,0.6,0.025,,0.5,0.5,-,35.0-38.0,,P-0.025,,,,,,140 BHN,8.11,490 Mpa,240 Mpa,42%,
Alloy 42,"1.3917, ASTM F 30, SEW 385, ",0.05,0.3,0.8,0.025,,0.25,-,-,42,,P-0.025,,,,,,130 BHN,8.05,520 Mpa,340 Mpa,42%,
Nimonic 80A,"2.4631, ASTM B637, UNS N07080",0.10 Max,1.00 Max,1.00 Max,0.015 Max.,,18-21,,,Remainder,,,,0.50-1.80,1.80-2.70,,,310-400 BHN,8.19,930 Mpa,620 Mpa,20%,
Inconel 901,,,,,,,,,,,,,,,,,,,,,,,
17-4PH,ASTM A564,,,,,,,,,,,,,,,,,,,,,,
15-5PH,ASTM A564,,,,,,,,,,,,,,,,,,,,,,
Nitronic 60,"ASTM A276, A479",,,,,,,,,,,,,,,,,,,,,,
Inconel 783,"ASTM B564, AMS 5940",,,,,,,,,,,,,,,,,,,,,,
Inconel 925,"ASTM B637, UNS N09925",0.030 max,1.0 Max,0.50 Max,0.030 Max,0.03 Max,19.5-22.5,2.5-3.5,1.5-3.0,42.0-46.0,,,,0.10-0.50,1.9-2.4,0.50 Max,,38 HRC Max,,965 Mpa,758 Mpa,18%,25%
